comment_cleaned,sentiment
oh man thank much sharing heart sorry dear friend,positive
needed moment thank beautiful,positive
thank struggling grief,negative
brother died unexpectedly pulmonary embolism get say goodbye saw day death physical pain grief unbearable first friend see ever getting cry type person feel pain physically sick eat sleep bear see,negative
beautiful thank sister mcadam helpful today meant,positive
two thing make cry man watch participate church service every sunday online beautiful choir funeral anxiety would probably never allow go church person hard enough man society shame cry story reminds th grade noticed many people saying really sorry classmate brother didnt know talking went asked whats going brother said died cancer said sorry made really sad fast forward week two later mom local pizza shop picking dinner noticed donation jar missing seen month brother remember turning mom telling donation jar gone reason gone died cancer remember like yesterday heart literally broke two right said loud death became real day,negative
thank vulnerability honesty appreciate video much,positive
take heart yes video helped someone still grieving loss someone special recently suddenly passed serious car accident thank word attitude truly helped condolence loss prayer,positive
thank sharing showing ok xxx,positive
today best friend birthday friend year passed away know shes still hard thank,neutral
brave amazing human,positive
found grandpa close passed away video helped lot never experienced family pas away situation video made feel peace thanks sharing hope feeling better soon,positive
thank sharingmy partner passed month ago aggressive cancer ill never stop loving stop grievingim without support family,negative
terrified life death know believe anymore,negative
amazing tribute,positive
father passed away last december cried minute next day went numb understand feel anything,negative
thank vid lost older brother sept hard seeing feeling going threw make feel like im alone others feeling many emotion losing loved one get better faster others going take awhile im back normal god know long thank,negative
may allah almighty protect sister work youve done nothing short excellent know allahour creator belong creator return keep faith world nothing test trial creator better lasting know sister make difference,positive
needed thing thankyou,positive
real admire love hug peace grieve,positive
never seen came time needed watching husband slowly die lewy body dementia parkinson exacerbated catching covid feel like going die grief thank reminding ok although feel like one family member left go sister alzheimer year older scary thank sharing wonder found bush daughter talking,negative
love brokenness real lost mom sister cancer summer today,negative
found channel wanted say much appreciated sharing video multitude reason thank,positive
daughter telling thought spincter speaking,neutral
add beauty tent,neutral
thankyou much,positive
cried daughter going intense loss breakup love grief grief shared believe breathing cry intense feeling getting side help healing bless thank vulnerability video,negative
im proud authentic process acknowledge feeling sharing process helped many blessing daughter,positive
wow reminds video opening trauma people reached able relate really cool watching video sense admiration brave remembered something similar except didnt allow proud something difficult see good many people yet find hard witness self even feel sense shame associated feeling proud like someone gon na judge long rant main point helped accept displaying bravery thank,positive
thank video help know perspective emotion,positive
thank much strong enough sharing genuine emotion ugly cry day,negative
im sorry hear emma much love,negative
bout losing someone support theyre burden wish one died instead,negative
admire video unexpectedly lost closest friend dad uncle miss dad much everyday ultimate best friend person life truly knew make happy understand best thing ever happened best thing life life feel black white without feel numb lost month still feel unreal would absolutely anything back day hour even fuck would give everything minute dont even wan na imagine life without hurt bad best dad could ever ask dont know believe hope he waiting hope know grateful much love dad need know much truly impacted life much mean,neutral
sorry loss friend going dark difficult time video appeared next auto play believe every thing happens reason thus made difference impact life tonight going start day went first lesson pondering emotion scrolling found cry thank difference make pleased meet even though youtube live south africa,neutral
thank much sharing im sorry loss,negative
thank much sorry loss,negative
heart cry thank vulnerable,negative
love love love love love love love darling emma,positive
wow thank sharing beautiful moment richness ripple showing possible,positive
hi name jamie year old wanted let know grievous year past month found mom dad grandma grandpa dad parent covid grandpa hospitalized week sadly passed away january th didnt get say goodbye understand hard time found mom dad ecoli pretty much suffering organ failure due drinking smoking since teenage year able room passed even still really hard time especially older sister much younger sister hit harder trauma recently occurred wanted let know video helped emotional person dont want show sometimes come really showed let emotion needed ashamed really appreciate making video also able funeral florida live january memorial service family cemetery north carolina side family life didnt kind service mom dad didnt want anything like hope read comment,negative
dealing loss grandma died cancer brutal family came across video bc searching information help grieving beautiful made video going word really touched true best let emotion run course ive breaking cry much night find smiling looking picture going range emotion loving grandma never said anything bad anyone loved everyone want thank video deal loss first loss going someone close let feel emotion sorry loss im sorry rambling people around care feeling distant closed im writing comment random video youtube comment deal feeling empty inside affecting day day life dont want anything show emotion anyone strange im usually positive happy sorry rambling thank video,negative
mission extremely close mother passed away feel like ive never anyone hold let cry feel like ive never anyone really comfort friend time betrayed another one walked away overwhelming im still cry today trying let go much miss mother sorrowing much hard move forward left alone life deal grrrr,negative
thank real got therapy depressed watched channel one helped therapist moment,neutral
really tore heartstrings please take care,negative
interesting plan video suicide later month explanation hurting bad lost wife home car job money,negative
able feel iti supress nd feel tired mentally physicallyi try avoid memory flash backi lost mum loved aloti dont know deal itfrom last month made life busy work gym cook eat sleepuntill quit job left without work nd hiding room daydoing bad eating sleeping whole house became mess feel energyif decided something moment feel like leavei even going another intervieweven stopped going gym month,negative
needed today,neutral
developed ptsd anxiety depression bcuz husband death deal took cbt nothing helping,negative
dad passed away never ever thought would happen,negative
thank showing sadness,negative
thank vlog like worth lot,positive
amazing upload father passed away get im sorry xx,negative
jesus coming wipe away every tear god bless good work,positive
grandfather died recentlyhe amazing man couldnt funeral also miss lot,positive
helpful thank much sharing reinforcing vulnerability okay found video needed glad thank,positive
watching video little mention life life shes edge coming jesus standing looking jump itjesus way truth life,neutral
beautiful soul thank putting video live demonstration process emotion god bless,positive
heavy thanks raw emotion helping navigate tough day,positive
swear needed hear today,positive
need know ok ive cry like past day losing someone,negative
thank much video father slowly passing grieving long time thank,positive
feeling healthy,positive
sorry loss anyone else broken right god close broken heart make ever give please,negative
remember innocent year old watching news mom one day lying next room dim tv lit room report someone dying asked talking understand explained going pas away one day started cry hurt much think one day life loving embrace said okay love always held wiped tear hurt much still remember day yesterday hurt today year later think fact pas away thankfully grace god still life see everyday dread day come feel alone thinking got taste yesterday family member passed away reason hit today cry preparing worse come enjoy loved one life everyday never complain time go slow best time live time go slow nothing worry,negative
im lost parent covid dad july th mom august th thank thank sharing,negative
thank posting lost brother suicide extremely difficult experience emotion feel guilt sadness,negative
something special lady,positive
feeling intense stress autistic girl struggle much school nobody school helping way need special need nobody see might even able get diploma always wanted go collage likely cant disabling autism feel worthless like piece trash doesnt belong world dont even believe life death feel like belong nowhere world treat autism dont give shit expect normal like everyone else choice mask sorry needed rant problem thought would fine,negative
stop chopping onion,negative
read memorize content book human brain still thing,neutral
thank sharing real comforting see pain also heal really appreciate video,positive
thank sharing emotion lost brother week ago screamed howled cried wept sometimes hysterical want sadness suck cortex helplessness need pull together sadness overwhelms sometimes good mental space,negative
think late say im sorry loss wonderful womam brave ou teach hang god bless,positive
sorry may god miss,negative
saved life,positive
ive working video series processing emotion theyve helpful heart go thank sincerely sharing deal seem like truly wonderful person strengthens opinion hug heart,positive
word deep deep deep grattitude taking time moment like share mean world hear moment,positive
human thank,neutral
thankyou strength video,positive
big hug cried,negative
thank much posting exactly needed especially seeing go thing cried much love,positive
beautiful wise caring soul right love tremendously helpful thank,positive
hope get moment love hug,positive
video got subscribe thank honest heart beautiful person,positive
beautiful soul love content post video goto content im cooking stuff around house ive learned much video past month quality content second none came across one want thank keeping real im learning process emotion relatable helpful condolence loss friend,positive
one best video watched youtube,positive
admire much emma vulnerable bless wonderful carmel,positive
idea much appreciate,positive
sharing authentic beautiful grief process wonderful gift thank much,positive
thank much sharing vulnerability inspired feel emotion,positive
thank showing authenticity vulnerability beautiful brave,positive
massive hug many want many need wonderful person filled empathy sharing emotion inspires take lot care always,positive
thank sharing currently grieving close friend coworker found died today trying help grieve youtube video grief,negative
know exactly feel lost baby sister lisa whove missed th bdand baby brother christopher age th bdive lost two baby longer mom dad ex passed away didnt find year sorry loss prayer fir strength peace comfort ability hold see whove gone home god blesses bless otherslike youre sadnesshug one theyve left behindawe love hug god bless,negative
hello friend im sorry lost good friend yourssooo sorry lost cousin year ago brain cancer brain surgery sad far away couldnt even visit lived thousand mile away hurt alot also past march list son age alcohol wouldnt stop drinking didnt agree getting helpso padt away young age broke heart deepand know feeling lossi also list dad cancer alsoso ruff lufeplease take careand im praying youll better soon take forever really loss loved one sometimes really never go away sadness depression set set people hope get easier friend daytske care god bless family bye california,negative
empathy gift people dont empathy anyone anything,negative
lost good friend recently passed away th august along unborn child due brain aneurism kid went school year class one year remember kid picked strong fighter stood ground grew accomplished young woman like struggle mental health going take life something father said forgot changed life became renewed person started looking life positively probably one genuine downtoearth people ive ever met made feel important like mattered never got tell day died suddenly thought thought maybe text see thought might busy thought perhaps could another time well found later thered next time could go back time redo moment would hurt knowing shes gone made impact never got express directly looking forward motherhood unsettles knowing whole life ahead thats taken away soon without warning hope pray baby peace lord btw clicked video help make sense happened process emotion thank making video feel somewhat comforting knowing feeling emotion im going right valid,neutral
thankyou good see someone admire open honest bless,positive
jesus wept thanks always calm gentle sake video make honest open one may god reward much may god give comfort grief,positive
thank thank thank,positive
know going mom died week ago dont family left sad right two living friend right sorry loss,negative
thank much sake others god name brave girl want,positive
amazing honest example grieving monumental loss relate helpful,positive
thank sharing human sorry loss,negative
thank sharing pain many people run pain hide pain hide pain people right grieving loss mum back december last year loss whole family unitthe loss relationship changed family experience anger resentment caused isolate dad brother feel pressurised stressed point want disappear suicide option disappearing life know option ive chosen solitude try find centre trigger easily around people feel safer sadder know time pas feel weak lonely miss mum much right ill try face pain head hide away fear dissolve tear explode something trivial brave woman share grief really struggling,negative
lost loved one yesterday suddenly feel intensely sad dont want live,negative
thank setting example,positive
hearing emotion wont destroy possible handle exactly needed right huge catalyst thank,positive
thank two hour say goodbye love life strength honesty put shoulder back information moment thank kindness frankness love loutraki greece take care,positive
thank sharing beautifully articulated,positive
relate spot ten year ago,neutral
feel pain emma sorry loss gift tune daily basis hear wisdom feel love may god bless protect difficult moment thank sharing,positive
wow touched heart exactly felt hour ago helped thank,positive
keep head thank giving good vibe video,positive
thank much video helpful love sorry loss agree helpful know life death take away grief pain hug,positive
never intensely emotional lived entire life stoic showing little emotion age seem emotion ive ignored throughout life catching control intense affect dont understand one discus tried telling oldest child answer figure make happy simple would already done cant people especially family shut let unload change god know ive done many time couldnt even try keep count seem realize dont need advise direction making better sometimes need someone listen never make mistake trying talk even daughter would better try talk total stranger called absolutely help turned accused getting mad trying help well thats help im better help mother year child old enough move live life never tried tell make life altering decision would try help think consequence could make best decision fit goal lifestyle always assumed mind life next time call one life altering problem im gon na tell figure make happy hang phone apparently one seems think right answer life wonder never want spend time stop giving unsolicited advise thing youve never encountered answer happiness leave step dad run away wild party caravan good lord almighty,neutral
thank video sorry loss celebrated person life sharing grief honored touched gift,positive
channel save life thank help offering condolence hug god bless,positive
sorry even though believe miss totally understand,negative
kid people horrible always lie steal nothing left suicide hope,negative
wowthank vulnerable wu feeling wed pretty good friend knew agree feeling felt arrive explain grief client way wave come go feeling bad thing given god help realize alive complex like creator made image friend sound like outstanding guy take care,positive
ugh annoying religious video many thing worse dealing death video someone hasnt,negative
thank video need hear lost dad video suggested watch much love,neutral
lost special need brother ive caretaker video rawness helping give permission grieve hard numb,negative
fact showed video show humble beautiful would confidence patient,positive
emma sorry loss friend think knowing brain cancer may prepared somewhat day lost family member familiar grieving process stage grief linear come back forth wave random moment reach acceptance like tide wave different think gracious wise share feeling grief one teach grieve avoid run stuff wonder many people sick dysfunctional thank showing others embrace think feeling feeling heal quickly course miss sting loss diminish,negative
thank sharing openly hurt lose love think glory experiencing held jesus loving arm completely pain seeing thing weve never dreamed yet,negative
say,neutral
best video youve ever made thank sharing vulnerability tool applicable moment,positive
lost rock todayi try think pain feel proof love shared kinda like memory ya know never forget loved one would want live happy pain also reminder start dont wait either start making time count loved one kid said there bathroom bush didnt see homeless guy poop bush thats weird mind went lol,negative
good video thanks much cry pain outgod created ability cry order release emotion get pain baggage feel beter afterwards,positive
stop watching drinking tear gross,negative
adore transparency incredibly inspiring btw beautiful cry,positive
im sorry loss youve educated helped many appreciate please know much care,negative
prayed thanks sharing knowledge hoping many deal anxiety intense emotion,positive
today woke heard father said something really hurt thing work study hard accomplish aching heart,negative
love lost mom pm year young therapist suggested find vlogging channel grief loss coping skill etc vlog made feel alone ok cry lose grief loss mom best friend rock caregiver mom thank,negative
im sorry loss thank transparent bless,negative
thank video sadness pain moving could really feel way explained let emotion move right like little revelation exactly right way stiff wind blow heart feel strongly youre blown feeling fact propels offered hope much sadness life beyond one lovely true grateful moved enlightened study resilience,positive
watching video made want reach screen give big hug,positive
cry beautiful emotion human condolence last also thank sharing personal situation pas,positive
sad rn helped ty,negative
someone bpd grateful someone like truly thankful show okay thankful thank much hope amazing day night evening,positive
thank sharing valuable life wisdom,positive
angel giving heart load love hug kiss,positive
helped dark time life even know sending love prayer gratitude way hoping feeling much better time passed,positive
thank real relatable beautifully wondrously made amen,positive
thank sharing today would friend birthday recently passed away helpful,positive
know made year ago totally stumbled upon feel deep need thank lost grandmother day ago ive felt numb close im heartbroken cant cry im crier normally let reason cant right well watching cried felt good release feeling im sad im gon na miss gram much know ill get happy soon thank much brave enough share youve helped many others,negative
video help get pain breaking ex dated year broken year living denial past month starting accept actually lost,negative
really awakened enlightened great respect,positive
rock,neutral
thank big hug,positive
thank sharing intensely painful experience deal pain,negative
whole new respect somebody real show human cry intense emotion need break little bit show someone trust believe arent teaching textbook making hard time sound like easy get im sorry loss pain heart beautiful thing pain making video sharing everyone god bless,negative
song written express emotion losing loved one httpsyoutubepqdvbmtaei,neutral
sorry loss experiencing emma emotion sharing positive happy one well sad onesthank sharing sorry loss good friend thank helpful information god bless sad feeling get less time like try remind try concentrate good positive thing help giving mollions people thank sharing,negative
next month year since dad passed away suddenly feel uneasy would like slip august go straight september possible like big black cloud getting closer day,negative
appreciate authenticity year later hope coping better loss sorry lost someone dear generous share humanity glad found week subscribed think help dealing,positive
thank honesty taking time example client like feel emotion intensely kind wonderful human,positive
lost husband two week ago grief hell faith strong,negative
lost father dont know deal deeply pain,negative
beautiful heart sorry loss thank helping many,negative
great human,positive
beautiful soul channel awesome taught feeling friend knew loved cared never lose waiting friend laughing toilet bush feeling kind emotion wonderful let flow,positive
absolutely amazing someone would want,positive
im sorry loss cousin committed suicide three week ago im still navigating way thank much sharing something personal vulnerable helped feel less alone guess thats feeling im trying describe thank much love,negative
need love,neutral
completely perfect thank one therapist another one human another grieving fresh grief today without searching clip showed love happens,positive
much love cried year later,positive
god good love,positive
okay okay time love way youre amazing woman,positive
reach jesus care deeply come unto labor heavy laden give rest matt,positive
youve time process loss id like make comment didnt want make would inappropriate apex grief id like consider comment made number one thing help faith something something everyone belief traditional religious creed life death personally believe personality dy body dy came come shared consciousness humanity divine within always know fine point think many problem modern human face today belief continue exist death religion play shared delusion cause much psychological distress people believe religious concept like heaven hell good therapist feel would reach people rely religious trope sooth anxious mind face death living life enough warrant best effort thinking another chapter life imo counter productive mental health someone dy romanticizing reunion take away great experience known personality life people realized preciousness life perhaps would strive make,neutral
powerful brave woman totally agree allowing intense emotion mental wellness,positive
idea today helped figure puzzle working forty year thank letting see god bless never forget,positive
thank much sharing authentic open real clump emotion someone love care deeply,positive
herb thank lost wife today,positive
great therapist human hope feel better,positive
thank vulnerability really appreciate content,positive
condolances loss may found peace understanding always thank kindly,positive
thank sharing helpful,positive
thank offering much everyone truly make difference world,positive
sub mean shit congrats growth last year,positive
beautiful thank bottom heart,positive
love daughter keeping eye reporting mom trust take care family shes support,positive
thank much vulnerable really need also feel emotion intense deeply watched video highly sensitive people hit nail head hard allow feel themi suppress keep pushing crash choice anyway god bless,negative
came feed today day dad left world intense emotion right,neutral
beautiful nothing ugly thank courageous sake others,positive
thank sister really special,positive
tip start,neutral
must nice get wage sending triangulated mixed signal therapist really looked arent get wage pretend help others get keep kid pretend help others keep mouth shut system really work whilst getting view raise much needed ego boost phah liar liar pant fire way would respect president part brought equation purpose see many knewworked see therapist praise,negative
needed hear going biggest loss ever experienced asking ill ever okay okay grieve okay strong emotion ill get bed function thank bottom soul heartfelt video,positive
grateful authenticity video help go trauma therapy im sorry loss praise god youll get see,negative
im sorryyour loss well beat cancer day,negative
thanks sharing appreciate work,positive
sub currently fourteenandahalf month ago daang,neutral
thank sharing experience beautiful moment peace light love,positive
thank normally past let emotion channel since life covid become filter sort dealing alone find sanctuary peace process throughly,neutral
helpful working moving uncomfortable emotion sometimes wonder right beautiful picture move acceptance feeling welcome thank sharing vulnerable piece life,positive
admire,positive
beautiful soul thank sharing life wisdom,positive
thank much sharing lost three close people year parent two seem come anxiety panic since follow grief emotion would appreciate letting know find resource,negative
learned much sorry loss grateful sincerity,positive
im one needed hear thank im year ago dont think feel hard emotion grieving maybe see beauty grief part love still want escape overwhelming pain scary thank much sharing freely xo,negative
dear think good time one day see keep heart,positive
lil sister fell dead stop cry,negative
thank using pain help others sincere good wish sent,positive
literally cry video popped feed cried helped feel intense emotion without judgment without trying suppress thank im sorry friend passing,negative
love channel wanted cry today couldnt untill saw ur video,negative
liked content saw video one really made fan thank,positive
know video little old havent seen getting equally bad news let feel good able process emotion sadness joy openly honestly thank much video,positive
love thank much sharing life understand accept pain,positive
wow youre beautiful beautiful soul wanted reach hug im going hardest emotional crest life filled every sad emotion load anger youre teaching maybe alrightand wind catatonic thanks video,positive
cry opposite ugly really help,negative
needed settled brain thank,neutral
respect im sorry loss hug canada,negative
wow brave turned pain path others awesome,positive
lord ugly cry lately pandemic really hit marriage hard plus dealing adhd depression anxiety im grateful found video bring light dark time,negative
thank making normal feel grief hardest thing world deal made even harder told whole life cry wimp maybe learn stop holding ridiculous standard thanks sorry loss,negative
take courage strength show emotion vulnerability bless sharing world also help see therapist real human feel everything way video help many others thank love,positive
dear sorry loss know pain loosing someone lived lost dad covid last july happened fast even process deteriorated day developed ptsd severe anxiety miss much haunt died alone hospital till day struggle getting bed every day lost lb look sick sending much love,negative
always struggled emotion everyone tell feel much cut time emotion get strong handle something still struggle half life fight video gave tear alot think continue grow know thank,negative
awwi,neutral
chemical trail sky play emotion watch streaky cloud thats normal something weird trying harm fact look targeted individual,negative
hate much dad molested mom neglected try happy adult im tired motheri love daughter im physically mentally tired dont hurt yell ik im teaching wrong way deal frustration way life really hard daily basis im also pregnant rn dad left even tho ik love want wait im bitter cant forgive everyone around telling walk work grocery store etc men stare turn around etc im pregnant another child stroller ik theyre looking want take advantage dont wan na add life want see take im tired tired work come home cook clean put daughter bedall absolutely alone sad current thing thing cant forget im tired men thinking rape eye im tired woman jealous idea life live want love feel like born loveless life,negative
thank much helpful see processing pain healthy way,positive
thank showing processing look like,neutral
thank much helping heap understanding emotional process,positive
hey first wanted say thank much sure hard difficult yet put hope reach someone hope feeling better today wanted say thank found channel day ago really helpful also someone feel emotion intensely yet throughout life one told okay feel fact scolded recently decided okay way hard one else life share sentiment hear say okay feel emotion intensely filled type peace,positive
thank really appreciate,positive
think time leave yet finally free reign terminal disease im sorry cant st ay psychiatric ward know leave,negative
tear watching okay thank much showing different perspective emotion,positive
im sorry loss cried take care helping ever know,negative
god hate cryin even though know good much younger get negatove dark sit hour also find feeling block little stretch self neck massage advice gave hold group muscle tightly tgen letting go great thanks,negative
thank bunch authenticity transparent youre much appreciated sweetie pie jesus wept normal weep ugly cry laugh etc lord close broken hearted save contrite spirit psalm god bless whole household jeremiah,positive
made biggest difference day thank god bless,positive
would love control emotion thanks sharing,positive
awww may hsp wonderful thing experience world deeply im glad made hope youre feeling better glad able feel wonderful feel sadness favorite emotion mother neglected adult abandonment issue mean feel sad lot become friend oh dear sadness hold like wasnt held nurse like wasnt nursed cradle like wasnt cradled oh sadness im never abandon like abandoned sarah gardner,negative
powerful video never easy vulnerable leading example impressive impressive especially world like press easy button everything allowing go emotion real work strong woman thank sharing greatly appreciate effort channel,positive
brother overdosed past month ago want alone darkness,negative
amazing sista blessed teaching god love family lol extended fams fan either either way god teach strength may force keep smiling,positive
sorry loss thank showing true example allow feel emotion watching many yoir video stopped judging emotion thank,negative
love video much powerful thank coming forward vulnerability service others beautiful soul,positive
sorry loss beautiful friend thank realistic showing human there shame cry,negative
intense pain inside mom passed away hurt much,negative
thank first video open emotion really good thing see appreciate sharing,positive
cry thank needed hear,neutral
one amazing lady,positive
beautiful post thanks putting fully wonderful teaching example,positive
soo much love light send blessed well,positive
waw first time seeing beautiful woman cry leaving happens without shame make believing trust love believe thank beautiful soul,positive
beautiful fave video farso much love loss yes suck able hold love lose loved one blessing,positive
beautiful powerful thank god bless taught world courage,positive
thank helping carry believing emotional person put year become strong woman pain feeling felt like going die time scale happy felt like going explode way laughing fit cry way cry smiling say feel emotion ride different wave get time may heal completely become stronger much love back,positive
thank much grace share,positive
fact still afterlife make feel better ive lost father yea real loss coz dont really soul going back original place creator yeah one day ill meet hopefully heaven please make doaa read,negative
thank much video,positive
sorry loss thank give,negative
ex daughter hasnt died cant compare walked life month seriously struggling making suicidal tone thesis emotion pain ever come across groundingmeditation help feeling better two week hit back deep depression mode dont want leave bed take little diazepam help get house need,negative
beautiful soul thank sharing real life emotion journey condolence loss,positive
love light love video really helped thank,positive
hi sorry loss recently lost uncle super hard especially difficult person would always talk sad knowing one person loved never judged gone devastating last night broke decided look self help video found one helped ease pain thank,negative
grieving child different type grieving grieve loss loved one always remember happy memory made give comfort grieving fact child happy memory comfort,neutral
thank much want say surroundings people love may advise suppress emotion try invalidate extent irrational etc please dont allow anyone else belittle feeling allowed process feelafter stop fighting let flow eventually notice way heal healthy manner please love take care kind others would human emotion big reason,neutral
thank emma feel emotion really deeply great learn new tip breathing emotion letting pas thank great work xxx,positive
im grieving right dont relief knowing something dont know dont believe make feel everything pointless increase pain emptiness one people cant believe man wish,negative
notice give husband credit value feeling kid husband even worth mentioning,positive
thank much beautiful reassuring,positive
faith,neutral
lost mom really suddenly living different country year came back missed family friend much couple month stroke didnt surgery immidiately went visit icu scared pain didnt understand going worst seeing person love like week visited every day read told story made music playlist desperate get back even though knew best go week dr called said say last goodbye october june still reoccuring nightmare havent able process,negative
sorry lost condolence,negative
father past away week ago watched video instead ignoring emotion actually felt sorry loss,negative
sorry loss thank much sharing raw emotion beautiful thing feel may god comfort heartache,negative
empowering helpful studied mental health tried control emotion instead enjoy gorgeous namaste,positive
favorite therapist wish could one one,neutral
lost mother covid birthday thanks helping process emotion love everyone,positive
beautiful sharing thank heart,positive
practice preach human vulnerable accepting truth honest,neutral
beautiful poignant thank much,positive
special person thank inspiring sharing vulnerable story,positive
one therapist another thank,neutral
thank help bipolar suicidal mom,negative
im sorry ur loss,negative
lost beautiful year old niece today im lost,negative
love even emma,positive
thanks sharing beloved sending good energy prayer way,positive
want know true feel sadso deep someone abandon longbut dont judge yet try understand deepi try catch faceif understand rainbowsomeone suffer without anyone knowi mean really really know deep connectionpeace upon,negative
thank showing real thank hard work order help benefit,positive
thank sharing blessed sorry loss,negative
thank video helped much husband year died week ago yr old son addiction homeless another state helped alot,negative
lost brother todaythank,negative
cat emotional support buddy sick going make difficult decision soon emotion intense made feel less alone ok actually feel sometimes think feel intensely heart hurt much thanks knowing important make video,negative
sincere condolence thank vulnerability transparency continued prayer,positive
im sorry pain going lot turmoil poor father day even though sober loneliness real connection beyond killing feel never get better moment survive look love connectivity least obvious place higher power lead hope life got better,negative
im tired strong cant even cry ive numbed pain year,negative
emmayou real love much channelwhat giving generous compassionate person helped learn feel feeli feel intensely wholly instead labelling emotion way parent taught embrace beautiful reason life full beautiful grateful life thank,positive
one look pretty theyre cryingthats one thing commongod bless sharing loss god work helping many,positive
beautiful cry true emotion please dont use term ugly cry silly saying demeans sensitive human emotion lost dad know hurt,negative
ugly cried every little thing gunna,negative
struggle panic attack relates autism thing great reminder sometimes feel guilty experiencing genuine justified human emotion remind sometimes every feeling phobia autism somethings wrong anything like ok human,negative
prayer dear friend familythank sharing heart emotion,positive
letting emotion pas cried lot public every grounding technique stumbled upon internet finished higher study maintaining semisuccessful career september collapsed agnostic dont see faith redemption moment sobbing heavy suicidal week much pain feel like forgot life could possibly look feel like opened video hope hear something dont know guess sticking forever maybe pain leave leave sorry loss,negative
thank need start,neutral
god bless sharing vulnerability,positive
work true beautiful thank,positive
sending lot hug,positive
humanity amazing even grief using help others fabulous example thank,positive
dad committed suicide much pain wanted doctor put coma initially,negative
much power,positive
gift given child let kid see cry move thru beautiful,positive
vulnerability beautiful thank,positive
video realsuscribed,neutral
love listening soo many video helped soo much thank much authenttic,positive
beautiful share emotion experience youre always genuine relatable im therapist ive shared content many client since ive discovered work knowledge experience share incredible gift thank much,positive
sorry loss god bless may give strength,negative
sincere condolencesto,negative
thankyou beautiful soul smile,positive
im sorry loss pray soul rest god loving embrace,negative
wonderful thank sharing heart hope experience,positive
beautiful surrender hope experience opening talk face full spectrum emotion life could make whole book like live intense emotion nothing ashamed,positive
thank god bless man friend family,positive
great job authentic fellow therapist,positive
showing,neutral
may watching year later idea much helped today birthday dead loved one really appreciate hoeing vulnerability emotion helping,positive
cry say aloud ok sad five time help automatically push sadness away,neutral
seriously well moment struggling intense feeling realised trying run away time think ever taught process emotion ultimately left dissociated avoidant mess human video although nothing really know cognitive level really moved loving genuine felt really reminded importance feeling feeling able feel beautiful one unfortunately think let depression make selfish hurt really sit seeing pain sitting still trying focus good others really inspiring especially mentioned always like get terrified going like forever yk idk thank,negative
praying able draw upon teaching skill get time hope able sit taught friend gone ahead hurt may blessed may friend rest perfect peace,positive
thanks brought flood sadness back shall embrace let wave grief move,neutral
proceeds talk,neutral
oh thank much video video watching channel month really find helpful particular video hit home hard seeing several provider doctor psychologist therapist naturopath much help minute mentioned brain cancer started cry son diagnosed back age chemo surgery radiation started journey recovery tough battle surgery left dylan double vision stunted growth doctor told would probably never get driver license would difficulty school missed almost one year highschool wellhe proved wrong get license graduated school enrolled university engineering scholarship th year covid hit sent home line class younger brother connor instantly graduated high school four stuck together home think four drove nut last year connor started act drink much took car one night young adult crashed power pole town cop showed door arrested front shortly dylan got message eye surgeon saying opening surgery try correct double vision decided go surgery well eye surgeon idea getting issue brain eye surgery made vision worse developed extreme case nystagmus shaking eye drop university good job offer put dylan wife jodi depressed state quit job took stress leave led lot conflict within family might add ulcerative colitis everything led flare thing slowly improving sooo difficult also lost dad suddenly year ago several favorite musical artist john prine one hit hardest also connors buddy vinny lost dad suicide week ago hung garage across street live small town people canada trying get back work big company work heartlessim sure im telling maybe seeing video opening showing vulnerability whole world see thank much sharing journey thought would share little bit god bless keep great work helping many people,neutral
like,neutral
oh god sorry loss gone well like many people even though situation sad letting emotion feel good rip,negative
thanks real showing emotion experience trial like death close family member friend may take time overcome ok lot great video love one much,positive
ok cry,negative
thank sharing need hear,positive
nothing respect love supportive real teaching strong emotion,positive
lost mom week ago still cry whenever remember shes gone okay take time okay,negative
light awareness bring life another form light brings ease comfort thank depth heart,positive
wowthank needed see strength weakness honesty wrapped together beautiful thing,positive
find day thanking others willingness vulnerable real sake others thank also,positive
beautiful authentic,positive
believe die go loved one beautiful peaceful gothey happy stress freeits left behind suffer feeling deal withiv near death experience loved one waiting like big warm hug beautifulnothing fear look back life full sad feeling sad time come back ppl still needed meits wierd feelingugly cry beautiful sending love,negative
part want meet loved one gone day ago lost love life think every minute day knew made life complete didnt understand extent hurt much even breath concentrate properly didnt turn drug anything deal im actually tired take route dont want die death come id feel opportunity meet side tree branch fell day ago almost knockedme head landed shoulder impact considerable im still shock guess thing could prepared medicla problem started show didnt react timely appropiate manner guilt factor whats crushing im trying hard thing control moment didnt act well due trying first minimize situation becuase got confused scared negligence fucking idea become one person balmed somones death specially love life know state waste time life energy thats im making mind suddenly find minute feel secure relaxed memory come start think feel bad resy day know intensity go still wonder manage trrying occupy mind much possible find peace go street start feeding cat road take walk mr dog appreciating greene plant tree looking something different room looking amazon buy bird feeder seed,neutral
glad yt recommended video father passed away last june amhaving hard time coping overflowing grief thanks know let emotion flow,negative
wow powerful one thing therapist tell ok cry hard put practise youve never seen adult person cry without trying brush eye opening thank,positive
love channel thank much everything post,positive
thank sharing started cry hope today sunny day,positive
special person kind compassionate sorry loss thank video helped beyond word,positive
thank open vulnerable im sorry loss friend sending hug,negative
made feel alone dark moment thank candid helpful video priceless,positive
thankful stumbled onto channel month ago helped much know share christian faith triple blessing thank thank god,positive
